,Unnamed: 0,abstract,lead_paragraph,headline,keywords,pub_date,news_desk,word_count,lead_paragraph_sw,lead_paragraph_sw_stem,date
10,1291,"Just three months after the start of the coronavirus pandemic, several biotech companies are beginning trials of promising vaccines and treatments.","As the coronavirus pandemic spreads at unprecedented rates, invading the lungs of people of all ages, ethnicities and medical histories, companies are ratcheting up their efforts to fight the disease with accelerated schedules for creating new vaccines, and beginning clinical trials for potential treatments.","{'main': 'More Coronavirus Vaccines and Treatments Move Toward Human Trials', 'kicker': None, 'content_kicker': None, 'print_headline': 'Yearslong Process Is Sped Up as More Vaccines Move Toward Human Trials', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Immune System', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'DNA (Deoxyribonucleic Acid)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'RNA (Ribonucleic Acid)', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Biotechnology and Bioengineering', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'Inovio Pharmaceuticals', 'rank': 12, 'major': 'N'}, {'name': 'organizations', 'value': 'Johnson & Johnson', 'rank': 13, 'major': 'N'}, {'name': 'organizations', 'value': 'Moderna Inc', 'rank': 14, 'major': 'N'}, {'name': 'organizations', 'value': 'Novavax Inc', 'rank': 15, 'major': 'N'}, {'name': 'persons', 'value': 'Hotez, Peter J', 'rank': 16, 'major': 'N'}, {'name': 'subject', 'value': 'your-feed-healthcare', 'rank': 17, 'major': 'N'}]",2020-04-08T20:35:01+0000,Science,1689,"As coronavirus pandemic spreads unprecedented rates, invading lungs people ages, ethnicities medical histories, companies ratcheting efforts fight disease accelerated schedules creating new vaccines, beginning clinical trials potential treatments.","As coronaviru pandem spread unpreced rates, invad lung peopl ages, ethnic medic histories, compani ratchet effort fight diseas acceler schedul creat new vaccines, begin clinic trial potenti treatments.",2020-04-08
11,2044,U.N. and global health experts warned that poor countries around the world were having to stop mass immunization programs to reduce the risk of spreading Covid-19.,"More than 100 million children could be at risk for measles because countries around the world are suspending national immunization programs in order to reduce the risk of coronavirus infection, international public health leaders warned on Monday.","{'main': 'Millions of Children Are at Risk for Measles as Coronavirus Fears Halt Vaccines', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Measles', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Childhood', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Babies and Infants', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Preventive Medicine', 'rank': 8, 'major': 'N'}]",2020-04-14T00:07:57+0000,Science,716,"More 100 million children could risk measles countries around world suspending national immunization programs order reduce risk coronavirus infection, international public health leaders warned Monday.","more 100 million children could risk measl countri around world suspend nation immun program order reduc risk coronaviru infection, intern public health leader warn monday.",2020-04-14
12,2517,Developing a defense against the virus will depend on how it behaves.,Developing a defense against the virus will depend on how it behaves.,"{'main': 'The Coronavirus Is Mutating. What Does That Mean for a Vaccine?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Antibodies', 'rank': 4, 'major': 'N'}]",2020-04-16T09:00:05+0000,Opinion,0,Developing defense virus depend behaves.,develop defens viru depend behaves.,2020-04-16
13,2543,"It__ tempting to speed up development in a pandemic, but there are good reasons to stick to scientific standards.","In the desperation to save lives in the coronavirus pandemic, we have already begun to relax scientific standards in the hope of finding a treatment without waiting to prove that it works.","{'main': 'An Unproven Vaccine Is Too Risky', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Ebola Virus', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Placebos', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Quarantines', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Swine Influenza', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Guillain-Barre Syndrome', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Coalition for Epidemic Preparedness Innovations', 'rank': 9, 'major': 'N'}]",2020-04-16T09:00:20+0000,OpEd,744,"In desperation save lives coronavirus pandemic, already begun relax scientific standards hope finding treatment without waiting prove works.","In desper save live coronaviru pandemic, alreadi begun relax scientif standard hope find treatment without wait prove works.",2020-04-16
14,2805,"By telephone, phishing emails, text messages or social media promotions, unscrupulous actors are using their warped creativity to separate people from their cash.",Offers of bogus drugs to prevent or treat coronavirus infection. Websites selling fake vaccines. False promises of speedier receipt of government stimulus checks.,"{'main': 'Bogus Vaccines. Fake Testing Sites. Virus Frauds Are Flourishing.', 'kicker': 'Your money adviser', 'content_kicker': None, 'print_headline': 'Bogus Vaccines. Fake Testing Sites. Frauds Are Flourishing.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Impostors (Criminal)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Identity Theft', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Counterfeit Merchandise', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Centers for Disease Control and Prevention', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Bureau of Investigation', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Trade Commission', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Health and Human Services Department', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Internal Revenue Service', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'Social Security Administration', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Tests (Medical)', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 14, 'major': 'N'}]",2020-04-17T13:00:07+0000,Business,1292,Offers bogus drugs prevent treat coronavirus infection. Websites selling fake vaccines. False promises speedier receipt government stimulus checks.,offer bogu drug prevent treat coronaviru infection. websit sell fake vaccines. fals promis speedier receipt govern stimulu checks.,2020-04-17
15,3285,"Singapore, an early success story, is having a surge in cases, while European countries start to ease restrictions. Oil prices nosedived as a worldwide surplus grew.",,"{'main': 'Coronavirus Death Toll Soars in Turkey; W.H.O. Warns of Vaccine Roadblock', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bolsonaro, Jair (1955- )', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Brasilia (Brazil)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Chile', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Zimbabwe', 'rank': 6, 'major': 'N'}]",2020-04-20T04:00:38+0000,Foreign,5993,,,2020-04-20
16,3417,"Though Djokovic, in an online chat, expressed concerns about having to accept a vaccination in order to travel for the tennis tour, he said in a follow-up statement that he would keep an open mind.","Novak Djokovic, the world__ No. 1 men__ tennis player, caused a stir with comments over the weekend suggesting he would have a difficult decision to make if receiving a coronavirus vaccine became mandatory to compete on the tennis circuit.","{'main': 'Novak Djokovic Expresses Resistance to Coronavirus Vaccine', 'kicker': None, 'content_kicker': None, 'print_headline': 'Djokovic Expresses Opposition to a Mandatory Coronavirus Vaccine', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Tennis', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Djokovic, Novak', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 4, 'major': 'N'}]",2020-04-20T23:42:38+0000,Sports,595,"Novak Djokovic, world__ No. 1 men__ tennis player, caused stir comments weekend suggesting would difficult decision make receiving coronavirus vaccine became mandatory compete tennis circuit.","novak djokovic, world_?no. 1 men_?tenni player, caus stir comment weekend suggest would difficult decis make receiv coronaviru vaccin becam mandatori compet tenni circuit.",2020-04-20
17,3876,"Afraid of Covid-19, parents are postponing well-child checkups, including shots, putting millions of children at risk of exposure to preventable deadly diseases.","As parents around the country cancel well-child checkups to avoid coronavirus exposure, public health experts fear they are inadvertently sowing the seeds of another health crisis. Immunizations are dropping at a dangerous rate, putting millions of children at risk for measles, whooping cough and other life-threatening illnesses.","{'main': 'Vaccine Rates Drop Dangerously as Parents Avoid Doctor__ Visits', 'kicker': None, 'content_kicker': None, 'print_headline': 'Afraid of One Virus, Parents Delaying Immunizations May Risk Others', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Childhood', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Babies and Infants', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Preventive Medicine', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Measles', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Whooping Cough', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Mumps', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Diphtheria', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Meningitis', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'your-feed-healthcare', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'your-feed-science', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Parenting', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 15, 'major': 'N'}]",2020-04-23T09:00:24+0000,Science,1529,"As parents around country cancel well-child checkups avoid coronavirus exposure, public health experts fear inadvertently sowing seeds another health crisis. Immunizations dropping dangerous rate, putting millions children risk measles, whooping cough life-threatening illnesses.","As parent around countri cancel well-child checkup avoid coronaviru exposure, public health expert fear inadvert sow seed anoth health crisis. immun drop danger rate, put million children risk measles, whoop cough life-threaten illnesses.",2020-04-23
18,3947,"A doctor calls the reassigning of Rick Bright __mong the worst decisions ever._?Also: Trump the landlord, Trump the tenant; a resurgence of family life.",To the Editor:,"{'main': 'The Firing of the Vaccine Official', 'kicker': 'letters', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bright, Rick A', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Trump Organization', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 7, 'major': 'N'}]",2020-04-23T18:37:51+0000,Letters,330,To Editor:,To editor:,2020-04-23
19,4341,"Even as the global death toll passed 200,000, countries are mapping out a return to public life. Health care workers in Mexico, India and other countries are facing attacks.",This briefing has ended. Follow our latest coverage of the coronavirus pandemic.,"{'main': 'Scientists Race For a Coronavirus Vaccine', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}]",2020-04-27T04:01:44+0000,Foreign,6522,This briefing ended. Follow latest coverage coronavirus pandemic.,thi brief ended. follow latest coverag coronaviru pandemic.,2020-04-27
